[-18.8125, -41.625, -11.125]
[12.875, -31.75, 0.8125]
[12.875, -31.75, 0.8125]
[12.875, -31.75, 0.8125]
[-1.1875, -26.125, -4.9375]
[-2.5625, -16.5, -12.6875]
[-2.5625, -16.5, -12.6875]
[-2.5625, -9.6875, -11.75]
[-2.5625, -9.6875, -11.75]
[3.875, -7.125, -1.5625]
[3.875, -7.125, -1.5625]
[9.375, -6.625, 0.75]
[9.375, -6.625, 0.75]
[8.375, -9.0, -1.4375]
[8.375, -9.0, -1.4375]
[8.375, -9.0, -1.4375]
[-4.875, -14.125, -14.3125]
[-4.875, -14.125, -14.3125]
[-6.6875, -13.5625, -17.4375]
[-6.6875, -13.5625, -17.4375]
[-6.6875, -13.5625, -17.4375]
[-7.0625, -16.6875, -23.4375]
[-0.125, -27.8125, -32.5]
[-0.125, -27.8125, -32.5]
[-0.125, -27.8125, -32.5]
[-0.125, -27.8125, -32.5]
[2.0, -47.4375, -48.125]
[-1.75, -71.4375, -68.1875]
[-1.75, -71.4375, -68.1875]
[-1.75, -71.4375, -68.1875]
[-1.75, -71.4375, -68.1875]
[-36.75, -124.375, -126.375]
[-36.75, -124.375, -126.375]
[-63.375, -149.875, -161.125]
[-63.375, -149.875, -161.125]
[-85.8125, -171.25, -184.5625]
[-108.75, -184.0625, -203.5625]
[-108.75, -184.0625, -203.5625]
[-108.75, -184.0625, -203.5625]
[-121.875, -180.75, -216.9375]
[-121.875, -180.75, -216.9375]
[-121.875, -180.75, -216.9375]
[-125.5, -157.25, -230.875]
[-125.5, -157.25, -230.875]
[-128.4375, -133.875, -243.4375]
[-128.4375, -133.875, -243.4375]
[-161.5, -144.3125, -244.9375]
[-161.5, -144.3125, -244.9375]
[-149.125, -136.375, -235.6875]
[-149.125, -136.375, -235.6875]
[-100.4375, -130.5, -218.8125]
[-100.4375, -130.5, -218.8125]
[-71.375, -127.0625, -186.6875]
[-71.375, -127.0625, -186.6875]
[-69.625, -113.625, -161.0]
[-69.625, -113.625, -161.0]
[-61.1875, -86.1875, -143.9375]
[-61.1875, -86.1875, -143.9375]
[-45.6875, -66.125, -133.125]
[-45.6875, -66.125, -133.125]
