[-52.5, -1.125, -8.625]
[-11.75, 14.625, 10.125]
[-2.875, 15.1875, 7.6875]
[-2.875, 15.1875, 7.6875]
[-21.375, 1.0, -1.5]
[-21.375, 1.0, -1.5]
[-9.9375, -4.75, -0.875]
[-9.9375, -4.75, -0.875]
[12.4375, -4.125, 0.6875]
[12.4375, -4.125, 0.6875]
[15.875, -6.875, 3.8125]
[15.875, -6.875, 3.8125]
[14.625, -2.5, 8.4375]
[26.0, 6.75, 20.75]
[26.0, 6.75, 20.75]
[26.0, 6.75, 20.75]
[38.125, 20.5625, 42.0]
[38.125, 20.5625, 42.0]
[62.125, 39.3125, 68.9375]
[62.125, 39.3125, 68.9375]
[100.1875, 61.625, 90.8125]
[100.1875, 61.625, 90.8125]
[100.1875, 61.625, 90.8125]
