[6.9375, 3.4375, 6.5]
[6.9375, 3.4375, 6.5]
[2.375, 0.125, 1.9375]
[2.375, 0.125, 1.9375]
[2.375, 0.125, 1.9375]
[1.8125, -1.6875, -2.625]
[1.8125, -1.6875, -2.625]
[1.8125, -1.6875, -2.625]
[7.0625, -2.6875, -2.625]
[7.0625, -2.6875, -2.625]
[6.875, -1.0625, -1.875]
[6.875, -1.0625, -1.875]
[4.75, 1.125, -1.5625]
[3.125, -0.5, 0.875]
[3.125, -0.5, 0.875]
[3.125, -0.5, 0.875]
[7.8125, -1.0625, 4.5625]
[7.8125, -1.0625, 4.5625]
[21.6875, 0.75, 12.0]
[21.6875, 0.75, 12.0]
[21.6875, 0.75, 12.0]
[34.875, 3.25, 23.125]
[35.5, 5.5, 33.375]
[35.5, 5.5, 33.375]
[35.5, 5.5, 33.375]
[44.0, 12.75, 43.8125]
[44.0, 12.75, 43.8125]
[44.0, 12.75, 43.8125]
[82.8125, 39.6875, 72.4375]
[82.8125, 39.6875, 72.4375]
[99.375, 52.25, 82.3125]
[99.375, 52.25, 82.3125]
[97.25, 56.9375, 91.625]
[97.25, 56.9375, 91.625]
[96.0625, 61.4375, 99.125]
[96.0625, 61.4375, 99.125]
[108.4375, 67.75, 105.0625]
[108.4375, 67.75, 105.0625]
[115.1875, 78.1875, 104.5625]
[109.1875, 87.8125, 101.0]
[109.1875, 87.8125, 101.0]
[109.1875, 87.8125, 101.0]
[93.125, 91.5625, 95.9375]
[93.125, 91.5625, 95.9375]
[79.875, 93.5, 93.1875]
[79.875, 93.5, 93.1875]
[74.1875, 94.9375, 92.8125]
[66.125, 96.125, 84.8125]
[66.125, 96.125, 84.8125]
[66.125, 96.125, 84.8125]
[55.625, 97.75, 70.75]
[42.6875, 97.375, 55.9375]
[42.6875, 97.375, 55.9375]
[29.9375, 89.75, 45.25]
[29.9375, 89.75, 45.25]
[29.9375, 89.75, 45.25]
[17.125, 79.1875, 38.5]
[6.625, 70.625, 32.875]
[6.625, 70.625, 32.875]
[-0.75, 60.3125, 28.5]
[-0.75, 60.3125, 28.5]
[-0.75, 60.3125, 28.5]
[-8.3125, 47.75, 23.875]
[-3.625, 36.75, 22.0625]
[-3.625, 36.75, 22.0625]
[3.375, 27.375, 24.125]
[3.375, 27.375, 24.125]
[3.375, 27.375, 24.125]
[1.5625, 14.8125, 28.5625]
[-0.1875, 3.3125, 32.1875]
[-0.1875, 3.3125, 32.1875]
[-0.1875, 3.3125, 32.1875]
[3.3125, -5.0, 37.0]
[3.3125, -5.0, 37.0]
[3.3125, -5.0, 37.0]
[12.625, -10.4375, 48.0625]
[12.625, -10.4375, 48.0625]
[15.625, -18.9375, 55.9375]
[9.0625, -27.375, 62.625]
[9.0625, -27.375, 62.625]
[23.375, -24.0, 69.125]
[-13.9375, -18.875, 56.375]
[-13.9375, -18.875, 56.375]
[-62.875, -27.625, 60.8125]
[-62.875, -27.625, 60.8125]
