[-4.9375, -111.0625, 24.375]
[-4.9375, -111.0625, 24.375]
[-4.9375, -111.0625, 24.375]
[5.8125, -106.6875, 17.375]
[5.8125, -106.6875, 17.375]
[16.5, -95.25, 13.75]
[15.9375, -85.25, 10.25]
[15.9375, -85.25, 10.25]
[15.9375, -85.25, 10.25]
[3.875, -76.1875, 6.5625]
[3.875, -76.1875, 6.5625]
[1.125, -62.8125, 2.125]
[5.8125, -49.0625, -2.25]
[5.8125, -49.0625, -2.25]
[5.8125, -49.0625, -2.25]
[-4.375, -38.6875, -7.3125]
[-4.375, -38.6875, -7.3125]
[-4.375, -38.6875, -7.3125]
[-17.625, -26.75, -12.375]
[-19.1875, -13.5625, -11.9375]
[-19.1875, -13.5625, -11.9375]
[-17.625, 1.6875, -7.4375]
[-17.625, 1.6875, -7.4375]
[-15.625, 13.0, -3.5]
[-18.3125, 17.125, -2.4375]
[-18.3125, 17.125, -2.4375]
[-18.3125, 17.125, -2.4375]
[-19.0, 14.0, 1.125]
[-19.0, 14.0, 1.125]
[-13.4375, 9.75, 4.3125]
[-10.3125, 6.9375, 6.375]
[-10.3125, 6.9375, 6.375]
[-6.625, 6.0625, 6.3125]
[-6.625, 6.0625, 6.3125]
[-6.625, 6.0625, 6.3125]
[-9.375, 4.5, 3.8125]
[-9.375, 4.5, 3.8125]
[-12.1875, 3.9375, 2.125]
[-12.1875, 3.9375, 2.125]
[-12.1875, 3.9375, 2.125]
[-12.1875, 3.9375, 2.125]
[-4.9375, 3.4375, 1.5625]
[-4.9375, 3.4375, 1.5625]
[-4.9375, 3.4375, 1.5625]
[-2.5625, 2.5, 0.8125]
[-2.5625, 2.5, 0.8125]
[-2.5625, 2.5, 0.8125]
[0.0625, 0.8125, 0.5625]
[0.0625, 0.8125, 0.5625]
[0.0625, 0.8125, 0.5625]
[5.75, -0.3125, -0.8125]
[5.75, -0.3125, -0.8125]
[5.75, -0.3125, -0.8125]
[15.625, -5.875, -2.5625]
[15.625, -5.875, -2.5625]
[22.1875, -8.4375, -3.5625]
[22.1875, -8.4375, -3.5625]
[22.1875, -8.4375, -3.5625]
[22.1875, -8.4375, -3.5625]
[23.75, -9.625, -4.375]
[33.1875, 4.375, -3.0]
[33.1875, 4.375, -3.0]
[83.875, 51.6875, 25.9375]
[83.875, 51.6875, 25.9375]
[83.875, 51.6875, 25.9375]
