[-55.8125, -34.4375, 25.0]
[-41.75, -23.0625, 20.625]
[-41.75, -23.0625, 20.625]
[-26.6875, 9.9375, 14.875]
[-7.625, 24.6875, 9.0]
[-7.625, 24.6875, 9.0]
[-7.625, 24.6875, 9.0]
[-12.0, -5.5, 1.6875]
[-12.0, -5.5, 1.6875]
[10.875, -10.125, -0.6875]
[10.875, -10.125, -0.6875]
[10.875, -10.125, -0.6875]
[21.125, -11.75, 2.3125]
[21.125, -11.75, 2.3125]
[19.25, -10.0, 3.3125]
[7.25, -7.25, 1.5]
[7.25, -7.25, 1.5]
[0.3125, -0.9375, -2.0]
[0.3125, -0.9375, -2.0]
[-0.9375, -0.125, -2.25]
[-0.875, -0.375, 0.3125]
[-0.875, -0.375, 0.3125]
[-0.875, -0.375, 0.3125]
[4.1875, -1.5625, 2.4375]
[9.375, -2.25, 3.5625]
[9.375, -2.25, 3.5625]
[11.5625, -4.125, 3.5]
[11.5625, -4.125, 3.5]
[11.5625, -4.125, 3.5]
[9.9375, -6.0625, 1.1875]
[9.9375, -6.0625, 1.1875]
[11.4375, -7.0, -0.25]
[11.4375, -7.0, -0.25]
[14.5625, -7.4375, -0.125]
[14.5625, -7.4375, -0.125]
[14.5625, -7.4375, -0.125]
[14.5625, -7.4375, -0.125]
[26.0625, -6.6875, -4.9375]
[25.4375, 0.8125, -9.6875]
[25.4375, 0.8125, -9.6875]
[25.4375, 0.8125, -9.6875]
[22.9375, 17.5, -11.1875]
[22.9375, 17.5, -11.1875]
[37.3125, 47.0625, -6.8125]
[37.3125, 47.0625, -6.8125]
[74.125, 89.625, -2.0625]
[83.25, 127.5, 1.8125]
[83.25, 127.5, 1.8125]
[83.25, 127.5, 1.8125]
[70.375, 161.75, 3.875]
[70.375, 161.75, 3.875]
[79.3125, 189.375, 12.5625]
[79.3125, 189.375, 12.5625]
[79.3125, 189.375, 12.5625]
[91.0, 210.6875, 19.125]
[91.0, 210.6875, 19.125]
[91.0, 210.6875, 19.125]
[102.8125, 250.0625, 35.0]
[121.9375, 260.75, 36.125]
[121.9375, 260.75, 36.125]
[121.9375, 260.75, 36.125]
[109.0625, 258.0, 44.625]
[109.0625, 258.0, 44.625]
[112.875, 252.8125, 58.75]
[112.875, 252.8125, 58.75]
[133.0, 247.0, 65.4375]
[133.0, 247.0, 65.4375]
[140.375, 236.5, 70.9375]
[139.5, 226.0625, 75.3125]
[139.5, 226.0625, 75.3125]
[139.5, 226.0625, 75.3125]
[132.25, 216.5, 82.3125]
[132.25, 216.5, 82.3125]
[128.625, 203.875, 96.25]
[128.625, 203.875, 96.25]
[128.75, 190.0, 108.5625]
[128.75, 190.0, 108.5625]
[124.0625, 182.375, 119.8125]
[124.0625, 182.375, 119.8125]
[121.1875, 178.375, 130.5]
[121.1875, 178.375, 130.5]
[109.75, 168.1875, 142.5]
[109.75, 168.1875, 142.5]
[97.0625, 156.1875, 152.8125]
[97.0625, 156.1875, 152.8125]
[97.0625, 156.1875, 152.8125]
[67.5, 137.5, 164.1875]
[67.5, 137.5, 164.1875]
[63.25, 120.25, 168.5]
[63.25, 120.25, 168.5]
[63.25, 120.25, 168.5]
[64.1875, 101.3125, 168.5625]
[64.1875, 101.3125, 168.5625]
[57.4375, 86.375, 159.25]
[57.4375, 86.375, 159.25]
[57.4375, 86.375, 159.25]
[50.375, 72.75, 147.0625]
[50.375, 72.75, 147.0625]
[50.375, 72.75, 147.0625]
[36.0625, 28.9375, 125.8125]
[22.625, -2.4375, 110.625]
[22.625, -2.4375, 110.625]
[-2.5625, -19.5625, 81.3125]
[-2.5625, -19.5625, 81.3125]
[-4.8125, -24.75, 38.4375]
[-4.8125, -24.75, 38.4375]
[23.875, -13.4375, -10.125]
[23.875, -13.4375, -10.125]
[17.375, 8.4375, -47.4375]
[17.375, 8.4375, -47.4375]
[-1.1875, -5.1875, -32.875]
[-1.1875, -5.1875, -32.875]
[50.375, -15.8125, -24.375]
[50.375, -15.8125, -24.375]
[53.9375, -32.1875, -40.6875]
[53.9375, -32.1875, -40.6875]
[-1.75, -38.6875, -79.3125]
[-1.75, -38.6875, -79.3125]
[-45.6875, -30.875, -94.375]
[-45.6875, -30.875, -94.375]
[-45.8125, -18.25, -55.3125]
[-45.8125, -18.25, -55.3125]
[-45.8125, -18.25, -55.3125]
[-8.25, 2.875, -1.4375]
[-8.25, 2.875, -1.4375]
[29.9375, 28.125, 35.5625]
[29.9375, 28.125, 35.5625]
[29.9375, 28.125, 35.5625]
[-34.5625, 25.25, 43.4375]
[-34.5625, 25.25, 43.4375]
[-25.75, 36.0625, 53.875]
[-25.75, 36.0625, 53.875]
[7.625, 50.875, 55.875]
[7.625, 50.875, 55.875]
[-1.0, 52.9375, 24.875]
[-1.0, 52.9375, 24.875]
[-41.625, 59.9375, 0.125]
[-41.625, 59.9375, 0.125]
[10.375, 75.5, -13.0]
[10.375, 75.5, -13.0]
[30.25, 51.3125, -14.0625]
[30.25, 51.3125, -14.0625]
[23.3125, 9.1875, -19.125]
[23.3125, 9.1875, -19.125]
[26.8125, -41.75, -50.625]
[26.8125, -41.75, -50.625]
[10.375, -90.4375, -89.0]
[10.375, -90.4375, -89.0]
[-20.3125, -103.1875, -115.0625]
[-20.3125, -103.1875, -115.0625]
[-64.0, -77.1875, -115.5625]
[-64.0, -77.1875, -115.5625]
[-64.0, -77.1875, -115.5625]
[-75.6875, -45.375, -72.875]
[-61.8125, -41.75, -49.625]
[-61.8125, -41.75, -49.625]
[-91.75, -65.625, -52.875]
[-91.75, -65.625, -52.875]
[-132.75, -102.1875, -59.375]
[-134.875, -135.9375, -72.25]
[-134.875, -135.9375, -72.25]
[-134.875, -135.9375, -72.25]
[-133.875, -166.9375, -84.8125]
[-133.875, -166.9375, -84.8125]
[-154.875, -200.6875, -96.75]
[-186.25, -232.5, -107.625]
[-186.25, -232.5, -107.625]
[-207.25, -259.0625, -120.5]
[-207.25, -259.0625, -120.5]
[-207.25, -259.0625, -120.5]
[-214.125, -284.0, -133.0]
[-214.125, -284.0, -133.0]
[-227.1875, -291.875, -134.25]
[-227.1875, -291.875, -134.25]
[-215.875, -291.75, -142.125]
[-215.875, -291.75, -142.125]
[-198.5, -290.0, -144.0]
[-198.5, -290.0, -144.0]
