[46.5625, -62.0625, -200.375]
[46.5625, -62.0625, -200.375]
[-16.25, -89.375, -171.75]
[-34.5625, -80.875, -115.5625]
[-34.5625, -80.875, -115.5625]
[63.0, -34.25, -52.25]
[63.0, -34.25, -52.25]
[63.0, -34.25, -52.25]
[167.125, -26.0, 18.5625]
[167.125, -26.0, 18.5625]
[136.0625, -39.6875, 65.4375]
[55.5, -64.0, 88.5625]
[55.5, -64.0, 88.5625]
[26.5625, -80.875, 86.375]
[26.5625, -80.875, 86.375]
[26.5625, -80.875, 86.375]
[32.4375, -85.0625, 73.8125]
[14.125, -84.125, 55.3125]
[14.125, -84.125, 55.3125]
[-10.875, -75.5, 24.25]
[-10.875, -75.5, 24.25]
[-10.875, -75.5, 24.25]
[-32.0, -55.3125, 18.8125]
[-30.625, -33.625, 19.875]
[-30.625, -33.625, 19.875]
[-31.875, -25.5625, 4.0]
[-51.0625, -20.875, -27.25]
[-51.0625, -20.875, -27.25]
[-51.0625, -20.875, -27.25]
[-86.1875, -35.625, -60.375]
[-86.1875, -35.625, -60.375]
[-121.0, -68.0, -77.0625]
[-121.0, -68.0, -77.0625]
[-136.0625, -106.0625, -86.0]
[-136.0625, -106.0625, -86.0]
[-130.375, -124.6875, -79.125]
[-114.375, -135.25, -44.1875]
[-114.375, -135.25, -44.1875]
[-141.1875, -163.375, -6.0]
[-141.1875, -163.375, -6.0]
[-175.4375, -202.125, 7.25]
[-175.4375, -202.125, 7.25]
[-220.3125, -250.6875, -18.25]
[-220.3125, -250.6875, -18.25]
[-255.4375, -293.3125, -56.75]
[-255.4375, -293.3125, -56.75]
[-255.4375, -293.3125, -56.75]
[-263.6875, -328.4375, -83.0]
[-279.0, -355.0, -103.9375]
[-279.0, -355.0, -103.9375]
[-297.5, -363.375, -112.125]
[-297.5, -363.375, -112.125]
[-278.25, -364.75, -122.5625]
[-278.25, -364.75, -122.5625]
[-280.3125, -368.5625, -132.5625]
[-280.3125, -368.5625, -132.5625]
[-261.5, -360.875, -139.375]
[-261.5, -360.875, -139.375]
[-177.3125, -338.375, -131.0625]
[-177.3125, -338.375, -131.0625]
[-89.6875, -302.0, -108.6875]
[-89.6875, -302.0, -108.6875]
[-73.1875, -260.6875, -73.5]
[-73.1875, -260.6875, -73.5]
[-79.9375, -212.25, -44.9375]
[-71.6875, -166.4375, -34.625]
[-56.0625, -123.1875, -30.5]
[-56.0625, -123.1875, -30.5]
[-29.1875, -80.1875, -15.5625]
[-29.1875, -80.1875, -15.5625]
[-29.1875, -80.1875, -15.5625]
[-24.875, -45.75, -2.625]
[-41.4375, -21.125, 1.5]
[-41.4375, -21.125, 1.5]
[-52.375, -9.5625, 2.5625]
[-52.375, -9.5625, 2.5625]
[-52.375, -9.5625, 2.5625]
[-52.375, -9.5625, 2.5625]
[-12.4375, 11.8125, -0.25]
[2.0625, 5.0625, -4.75]
[2.0625, 5.0625, -4.75]
[-5.375, -3.875, -4.625]
[-5.375, -3.875, -4.625]
[0.0, -8.4375, -1.75]
[0.0, -8.4375, -1.75]
[12.0625, -11.3125, 2.4375]
[12.0625, -11.3125, 2.4375]
[12.0625, -11.3125, 2.4375]
[21.4375, -13.5, 6.625]
