[18.5625, -156.0625, 23.6875]
[18.5625, -156.0625, 23.6875]
[20.5, -140.375, 19.125]
[20.5, -140.375, 19.125]
[7.0, -123.1875, 12.1875]
[7.0, -123.1875, 12.1875]
[-18.4375, -102.9375, 9.25]
[-18.4375, -102.9375, 9.25]
[-12.4375, -79.75, 11.9375]
[-12.4375, -79.75, 11.9375]
[-0.9375, -60.25, 9.6875]
[-0.9375, -60.25, 9.6875]
[-12.4375, -50.4375, 6.0625]
[-20.0, -42.625, 2.5]
[-20.0, -42.625, 2.5]
[-14.9375, -30.25, 1.375]
[-14.9375, -30.25, 1.375]
[-11.125, -20.9375, -0.0625]
[-11.125, -20.9375, -0.0625]
[-9.5625, -16.0, -1.9375]
[-9.5625, -16.0, -1.9375]
[-7.125, -12.75, -5.0]
[-7.125, -12.75, -5.0]
[-7.125, -11.625, -5.625]
[-7.125, -11.625, -5.625]
[-7.125, -11.625, -5.625]
[-4.6875, -9.1875, -5.3125]
[-2.4375, -9.3125, -5.4375]
[-2.4375, -9.3125, -5.4375]
[-2.4375, -9.3125, -5.4375]
[-2.0625, -13.375, -4.5625]
[-0.4375, -17.875, -4.0625]
[-0.4375, -17.875, -4.0625]
[2.3125, -19.6875, -1.4375]
