[-3.5625, -0.125, 6.75]
[-10.1875, 4.4375, 3.875]
[-10.1875, 4.4375, 3.875]
[-8.9375, 9.6875, 5.4375]
[-8.9375, 9.6875, 5.4375]
[3.0625, 13.5, 1.8125]
[3.0625, 13.5, 1.8125]
[5.8125, 10.3125, 0.125]
[5.8125, 10.3125, 0.125]
[0.5, 5.125, 3.0]
[0.5, 5.125, 3.0]
[-6.5, 1.5625, 1.0]
[-6.5, 1.5625, 1.0]
[-7.375, -0.75, 0.125]
[-7.375, -0.75, 0.125]
[-4.875, -2.875, 0.3125]
[-4.875, -2.875, 0.3125]
[-4.875, -2.875, 0.3125]
[-2.5, -3.8125, -1.0625]
[1.1875, -3.625, -3.75]
[1.1875, -3.625, -3.75]
[1.5625, -3.375, -7.4375]
[-3.0625, -4.1875, -15.5625]
[-3.0625, -4.1875, -15.5625]
[-3.0625, -4.1875, -15.5625]
[-3.25, -5.8125, -29.4375]
[-3.25, -5.8125, -29.4375]
[-1.5625, -8.5625, -45.6875]
[-1.5625, -8.5625, -45.6875]
[3.125, -13.875, -60.0]
[-3.0625, -20.25, -74.125]
[-3.0625, -20.25, -74.125]
[-3.0625, -20.25, -74.125]
[-2.625, -21.625, -91.3125]
[-2.625, -21.625, -91.3125]
[6.125, -23.1875, -103.5625]
[15.5625, -27.9375, -111.75]
[15.5625, -27.9375, -111.75]
[15.5625, -27.9375, -111.75]
[15.25, -36.4375, -117.3125]
[15.25, -36.4375, -117.3125]
[7.125, -42.5, -124.0]
[7.125, -42.5, -124.0]
[-10.5625, -51.25, -131.0625]
[-10.5625, -51.25, -131.0625]
[-16.4375, -55.625, -134.375]
[-16.4375, -55.625, -134.375]
[-2.25, -54.8125, -130.6875]
[-3.875, -55.875, -128.1875]
[-3.875, -55.875, -128.1875]
[-27.0, -57.8125, -120.625]
[-27.0, -57.8125, -120.625]
[-33.25, -49.8125, -100.5625]
[-33.25, -49.8125, -100.5625]
[-14.1875, -38.625, -85.25]
[-19.875, -32.3125, -82.25]
[-19.875, -32.3125, -82.25]
[-55.5, -36.25, -83.5]
[-55.5, -36.25, -83.5]
[-55.5, -36.25, -83.5]
[-81.9375, -36.125, -78.0]
[-66.375, -25.75, -63.875]
[-66.375, -25.75, -63.875]
[-31.0, -8.4375, -46.8125]
[-31.0, -8.4375, -46.8125]
[-31.0, -8.4375, -46.8125]
[-19.8125, -0.1875, -37.8125]
[-44.9375, 1.0, -25.6875]
[-44.9375, 1.0, -25.6875]
[-52.125, 8.9375, -4.5]
[-52.125, 8.9375, -4.5]
[-43.125, 15.8125, 0.625]
[-43.125, 15.8125, 0.625]
[-14.0, 13.4375, 5.6875]
[-14.0, 13.4375, 5.6875]
[5.9375, 9.0, 8.75]
[5.9375, 9.0, 8.75]
[-3.8125, 5.9375, 6.375]
[-3.8125, 5.9375, 6.375]
[-3.8125, 5.9375, 6.375]
[-13.3125, 4.3125, -0.1875]
[-12.875, 0.5, -2.0]
[-12.875, 0.5, -2.0]
[-5.4375, -1.75, 1.5]
[4.5625, -3.25, 4.375]
[4.5625, -3.25, 4.375]
[4.5625, -3.25, 4.375]
[11.125, -4.375, 4.875]
[11.125, -4.375, 4.875]
[15.625, -4.4375, 4.875]
[13.125, -2.1875, 4.25]
[13.125, -2.1875, 4.25]
[7.0625, 4.25, 9.125]
[7.0625, 4.25, 9.125]
[7.0625, 4.25, 9.125]
[7.5625, 14.25, 22.6875]
[7.5625, 14.25, 22.6875]
[6.875, 24.9375, 39.25]
[6.875, 24.9375, 39.25]
[16.3125, 42.25, 57.4375]
[50.875, 58.9375, 73.0625]
[50.875, 58.9375, 73.0625]
[79.5, 74.8125, 85.125]
[79.5, 74.8125, 85.125]
[85.6875, 92.625, 90.1875]
[85.6875, 92.625, 90.1875]
[82.4375, 114.875, 97.6875]
[82.4375, 114.875, 97.6875]
[82.4375, 114.875, 97.6875]
[71.625, 134.5, 99.875]
[38.5, 143.75, 104.875]
[38.5, 143.75, 104.875]
[-32.0625, 156.6875, 129.5]
[-32.0625, 156.6875, 129.5]
[-95.125, 172.25, 130.25]
[-95.125, 172.25, 130.25]
[-151.0, 119.75, 82.6875]
[-151.0, 119.75, 82.6875]
[-151.0, 119.75, 82.6875]
[-200.125, 12.1875, 76.6875]
[-144.25, -65.375, 66.6875]
[-144.25, -65.375, 66.6875]
[36.0, -32.75, 67.5]
[36.0, -32.75, 67.5]
[122.9375, 29.5, 69.6875]
[122.9375, 29.5, 69.6875]
[183.0625, 52.875, 49.0]
[183.0625, 52.875, 49.0]
[183.0625, 52.875, 49.0]
[192.5, 30.8125, 1.375]
[161.375, -10.875, -29.75]
[161.375, -10.875, -29.75]
[161.5625, -40.1875, -33.0625]
[161.5625, -40.1875, -33.0625]
[190.25, -56.0, -30.25]
[190.25, -56.0, -30.25]
[216.5, -49.3125, -32.75]
[216.5, -49.3125, -32.75]
[189.375, 0.0, -26.75]
[189.375, 0.0, -26.75]
[-2.3125, 53.25, -16.125]
[-2.3125, 53.25, -16.125]
[-217.3125, 61.5625, -9.25]
[-217.3125, 61.5625, -9.25]
[-287.25, 39.25, 17.0]
[-247.0625, 3.125, 41.25]
[-247.0625, 3.125, 41.25]
[-247.0625, 3.125, 41.25]
[-188.25, -25.9375, 49.125]
[-108.0625, -25.125, 65.0]
[-108.0625, -25.125, 65.0]
[-3.125, -6.4375, 89.625]
[-3.125, -6.4375, 89.625]
[-3.125, -6.4375, 89.625]
[54.625, 7.125, 94.4375]
[36.8125, -9.0625, 90.8125]
[36.8125, -9.0625, 90.8125]
[8.3125, -32.875, 82.4375]
[8.3125, -32.875, 82.4375]
[8.3125, -32.875, 82.4375]
[-6.375, -41.5, 75.8125]
[-15.375, -42.0625, 63.75]
[-15.375, -42.0625, 63.75]
[-32.0625, -42.8125, 50.75]
[-32.0625, -42.8125, 50.75]
[-32.0625, -42.8125, 50.75]
[-15.375, -40.75, 49.0]
[4.0, -39.75, 40.4375]
[4.0, -39.75, 40.4375]
[-0.8125, -40.625, 30.9375]
[-0.8125, -40.625, 30.9375]
[-0.8125, -40.625, 30.9375]
[-16.0625, -44.75, 26.1875]
[-16.0625, -44.75, 26.1875]
[-31.9375, -46.0, 21.6875]
[-20.4375, -34.625, 13.0]
[-20.4375, -34.625, 13.0]
[1.4375, -18.5625, 3.1875]
[1.4375, -18.5625, 3.1875]
[1.4375, -18.5625, 3.1875]
[0.375, -11.8125, 1.6875]
[-14.3125, -11.625, 3.0]
[-14.3125, -11.625, 3.0]
[-14.3125, -11.625, 3.0]
[-10.125, -2.0625, 2.75]
[0.5625, 7.4375, -0.5]
[0.5625, 7.4375, -0.5]
[-0.25, 10.1875, 0.125]
[-0.25, 10.1875, 0.125]
[-13.125, 1.0, 1.0625]
[-13.125, 1.0, 1.0625]
[-14.125, -5.9375, -1.6875]
[-14.125, -5.9375, -1.6875]
[-7.9375, -6.25, -0.5625]
[-7.9375, -6.25, -0.5625]
[-4.3125, -3.25, 2.125]
[-4.3125, -3.25, 2.125]
[-4.75, -2.75, 3.1875]
[-4.75, -2.75, 3.1875]
[-6.9375, -2.3125, 4.0625]
[-6.9375, -2.3125, 4.0625]
[-10.375, 0.625, -0.9375]
[-10.375, 0.625, -0.9375]
[-5.625, 3.8125, -3.6875]
[-5.625, 3.8125, -3.6875]
[0.25, 7.125, -4.8125]
[0.25, 7.125, -4.8125]
[0.0, 6.5, -6.0]
[0.0, 6.5, -6.0]
[-0.375, 5.5625, -9.0625]
[-0.375, 5.5625, -9.0625]
[2.0625, 6.9375, -20.4375]
[2.0625, 6.9375, -20.4375]
[5.4375, 11.5625, -38.5625]
[5.4375, 11.5625, -38.5625]
[5.6875, 10.1875, -63.375]
[5.6875, 10.1875, -63.375]
[-5.5, -3.5, -92.25]
[4.125, -14.625, -106.375]
[4.125, -14.625, -106.375]
[4.125, -14.625, -106.375]
[14.5, -21.4375, -128.0]
[17.875, -32.5625, -160.3125]
[17.875, -32.5625, -160.3125]
[18.875, -50.75, -183.25]
[18.875, -50.75, -183.25]
[1.0625, -70.25, -179.1875]
[1.0625, -70.25, -179.1875]
[3.4375, -79.8125, -164.25]
[3.4375, -79.8125, -164.25]
[15.375, -80.8125, -162.4375]
[15.375, -80.8125, -162.4375]
[-1.25, -85.375, -152.9375]
[-1.25, -85.375, -152.9375]
[-35.875, -84.8125, -129.8125]
[-35.875, -84.8125, -129.8125]
[-37.5, -74.125, -117.5625]
[-37.5, -74.125, -117.5625]
[-17.8125, -62.4375, -112.5625]
[-17.8125, -62.4375, -112.5625]
[-6.9375, -53.0625, -99.625]
[-14.375, -49.875, -87.6875]
[-14.375, -49.875, -87.6875]
[-14.375, -49.875, -87.6875]
[-37.125, -42.8125, -73.3125]
[-37.125, -42.8125, -73.3125]
[-22.625, -13.6875, -42.9375]
[-22.625, -13.6875, -42.9375]
[-31.5, 9.375, -24.25]
[-31.5, 9.375, -24.25]
[-68.6875, 13.125, -21.75]
[-68.6875, 13.125, -21.75]
[-52.875, 13.875, -10.6875]
[-25.0625, 12.8125, 2.0]
